AY,TL,Dolar
2020 EKİM,25949,3100.24
2020 KASIM,30500,3915.28
2020 ARALIK,39750,5335.57
2021 OCAK,49554,6806.87
2021 ŞUBAT,60271,8100.94
2021 MART,66316,8018.86
2021 NİSAN,72054,8712.7
2021 MAYIS,78184,9198.12
2021 HAZİRAN,77000,8881.2
2021 TEMMUZ,79271,9403.44
2021 AĞUSTOS,87250,10461.63
2021 EYLÜL,92638,10432.21
2021 EKİM,102158,10708.39
2021 KASIM,124481,9487.88
2021 15 ARALIK,152500,10987.03
2021 ARALIK,134500,10150.94
2022 OCAK,135500,10000
2022 ŞUBAT,139000,10028.86
2022 MART,164417,11207.7
2022 NİSAN,234162,15768.48
2022 MAYIS,232260,14345.89
2022 HAZİRAN,226000,13468.41
2022 TEMMUZ,250000,13958.68
2022 AĞUSTOS,315000,17298.19
2022 EYLÜL,342000,18486.49
2022 EKİM,457000,24596.34
2022 KASIM,570000,30612.24
2022 ARALIK,638000,34099.41
2023 OCAK,586000,31153.64
2023 ŞUBAT,650000,34427.97
2023 MART,617000,32185.71
2023 NİSAN,600000,30880.08
2023 MAYIS,640000,30902.95
2023 HAZİRAN,803000,31027.82
2023 TEMMUZ,1018000,37787.68
